job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
1eba3eee-f449-496b-bb3f-2265cce34e0c,Assembly Technician - Second Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
d628aab4-5a8b-4703-8cc6-03da5cedf0a3,Assembly Technician - Second Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
2c466cfc-d495-4422-8d8a-9653e1729180,Assembly Technician First Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
b7b430d5-a4e6-4f0f-a513-6a94c560c230,Assembly Technician First Shift,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
11954c73-3e4b-4c6b-b699-a45813c17709,Assembly Technician I,manufacturing_production,manufacturing,17-3024.01,Robotics Technicians,exact,Assembly Technician,3
ce04373a-95c6-41be-be7f-974795ee88d0,AT Team Lead - Offshore Wind Services-1- Vineyard Wind,utility_public_works,public_safety,,,unmapped,,
b8997d15-e2e6-4a2b-8ac4-5a6da7d8bec1,AT Team Lead - Offshore Wind Services-2- Vineyard Wind,utility_public_works,public_safety,,,unmapped,,
4f4d7e72-1c85-48f0-b147-d778b24f0021,ATS Assembler,manufacturing_production,manufacturing,,,unmapped,,
90232b64-9386-4bfd-8f4b-4b484ff3def8,BAS Technician II,building_automation_controls,construction,,,unmapped,,
c27714d6-80d1-410c-a5c4-59dad03d546d,BAS Technician II,building_automation_controls,construction,,,unmapped,,
fcace57a-06c3-4e68-8e04-6b1157ecad61,BMS Service Account Executive,hvac_r,construction,,,unmapped,,
cc8a84e6-9fdc-45d1-8ccd-20d6bc952a5b,BMS Service Specialist II,industrial_maintenance,manufacturing,,,unmapped,,
88063f4b-9a74-4b3a-993c-1406d91b703d,Building Automation Project Management,hvac_r,construction,,,unmapped,,
5a28dbc6-6d5d-482d-86b5-6054ae003e6e,Building Automation Service Specialist,hvac_r,construction,,,unmapped,,
a1c98a35-5e0e-436e-8d1f-b91d5afcb60b,Building Automation Service Specialist,hvac_r,construction,,,unmapped,,
28d43ff7-82dd-4d89-9dfa-79b6467b81f8,Building Automation Service Specialist I,diesel_service_and_technology,transportation,,,unmapped,,
5463b5c0-b116-4c2a-9ca5-6b9b4905624a,Building Automation Service Specialist II,building_automation_controls,construction,,,unmapped,,
520f8d81-3511-4051-bbf9-a9c40e6168de,Building Automation System Specialist I,hvac_r,construction,47-4011.01,Energy Auditors,fuzzy,Energy and Building Systems Specialist,3
75a54389-46d9-4083-8ce3-fe3bfb222333,Building Automation System Specialist I,hvac_r,construction,47-4011.01,Energy Auditors,fuzzy,Energy and Building Systems Specialist,3
8640529f-2350-480d-82c1-179940966209,Building Automation Systems Specialist I,hvac_r,construction,47-4011.01,Energy Auditors,fuzzy,Energy and Building Systems Specialist,3
dce73e64-f294-4807-95da-4414ceca1350,Building Automation Systems Specialist II,hvac_r,construction,47-4011.01,Energy Auditors,fuzzy,Energy and Building Systems Specialist,3
7be0d8c5-61fb-42e0-85e2-e57eaa3c8c92,Building Automation Technician II,building_automation_controls,construction,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact,Building Automation Technician,3
9089b0d0-9bcc-4423-9a86-9ec534a5f15a,Building Automation Technician II,building_automation_controls,construction,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact,Building Automation Technician,3
dc933d2c-9513-4497-ba60-29f80aa1d55c,Building Automation Technician II,building_automation_controls,construction,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact,Building Automation Technician,3
050f299a-3320-4e53-91aa-e93418d2ab99,Buncher Operator II,manufacturing_production,manufacturing,45-4022.00,Logging Equipment Operators,exact,Buncher Operator,2
eb562309-25bd-43ef-990b-0f2b72ad6f87,Carpenter All Around - Buffalo Stamping Plant (BSP),building_construction_technology,construction,,,unmapped,,
de94a11f-9805-4da4-8c1b-f25d155ee431,Carpenter-All Around - Buffalo Stamping Plant (BSP),building_construction_technology,construction,,,unmapped,,
e1997983-070c-45f9-bd07-72884eaca6a8,Chemical Technican,manufacturing_production,manufacturing,,,unmapped,,
430231ef-ff5b-43ee-ad92-b8bbb2efdf0e,Closing Technician,utility_public_works,public_safety,,,unmapped,,
0573e45d-f593-4033-bc94-42f92bd74a89,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
06b15669-fd1b-4d58-832b-5023e4883c29,Closing Technician I,utility_public_works,public_safety,,,unmapped,,
